-999 -999 -999     3.65800 -999.00000    2.51289 -999.00000 -999.00000
-999 -999 -999     3.24200 -999.00000    2.55245 -999.00000 -999.00000
-999 -999 -999     6.32900 -999.00000    2.60101 -999.00000 -999.00000
-999 -999 -999    10.15400 -999.00000    2.67312 -999.00000 -999.00000
-999 -999 -999    12.07100 -999.00000    2.76450 -999.00000 -999.00000
-999 -999 -999     8.10000 -999.00000    2.84799 -999.00000 -999.00000
-999 -999 -999     9.89100 -999.00000    2.92327 -999.00000 -999.00000
-999 -999 -999     5.16300 -999.00000    2.98771 -999.00000 -999.00000
-999 -999 -999     6.74600 -999.00000    3.04078 -999.00000 -999.00000
-999 -999 -999     9.57900 -999.00000    3.10868 -999.00000 -999.00000
-999 -999 -999    13.33800 -999.00000    3.19878 -999.00000 -999.00000
-999 -999 -999    14.87500 -999.00000    3.30635 -999.00000 -999.00000
-999 -999 -999     8.30800 -999.00000    3.39549 -999.00000 -999.00000
-999 -999 -999     5.50400 -999.00000    3.45147 -999.00000 -999.00000
-999 -999 -999     5.91700 -999.00000    3.49871 -999.00000 -999.00000
-999 -999 -999     9.50400 -999.00000    3.55936 -999.00000 -999.00000
-999 -999 -999    12.28800 -999.00000    3.64141 -999.00000 -999.00000
-999 -999 -999    14.10000 -999.00000    3.73853 -999.00000 -999.00000
-999 -999 -999    12.09600 -999.00000    3.83401 -999.00000 -999.00000
-999 -999 -999    13.80000 -999.00000    3.92754 -999.00000 -999.00000
-999 -999 -999    11.36700 -999.00000    4.01769 -999.00000 -999.00000
-999 -999 -999    17.50800 -999.00000    4.12177 -999.00000 -999.00000
-999 -999 -999     9.79200 -999.00000    4.22209 -999.00000 -999.00000
-999 -999 -999     9.16700 -999.00000    4.29300 -999.00000 -999.00000
-999 -999 -999    12.21700 -999.00000    4.37388 -999.00000 -999.00000
-999 -999 -999    10.12500 -999.00000    4.45949 -999.00000 -999.00000
-999 -999 -999    15.25800 -999.00000    4.55852 -999.00000 -999.00000
-999 -999 -999    17.65400 -999.00000    4.69058 -999.00000 -999.00000
-999 -999 -999    15.61700 -999.00000    4.82765 -999.00000 -999.00000
-999 -999 -999    15.41700 -999.00000    4.95837 -999.00000 -999.00000
-999 -999 -999    12.68800 -999.00000    5.07863 -999.00000 -999.00000
-999 -999 -999    11.35400 -999.00000    5.18188 -999.00000 -999.00000
-999 -999 -999    13.61700 -999.00000    5.29138 -999.00000 -999.00000
-999 -999 -999    11.85400 -999.00000    5.40524 -999.00000 -999.00000
-999 -999 -999    13.98700 -999.00000    5.52311 -999.00000 -999.00000
-999 -999 -999     8.98300 -999.00000    5.62739 -999.00000 -999.00000
-999 -999 -999     7.02500 -999.00000    5.69427 -999.00000 -999.00000
-999 -999 -999    12.13700 -999.00000    5.77925 -999.00000 -999.00000
-999 -999 -999    10.51200 -999.00000    5.88506 -999.00000 -999.00000
-999 -999 -999    12.37500 -999.00000    5.99369 -999.00000 -999.00000
-999 -999 -999    12.60400 -999.00000    6.11672 -999.00000 -999.00000
-999 -999 -999    12.82600 -999.00000    6.24470 -999.00000 -999.00000
-999 -999 -999    10.15000 -999.00000    6.35836 -999.00000 -999.00000
-999 -999 -999     8.48700 -999.00000    6.44356 -999.00000 -999.00000
-999 -999 -999    14.82100 -999.00000    6.56207 -999.00000 -999.00000
-999 -999 -999    10.56700 -999.00000    6.69702 -999.00000 -999.00000
-999 -999 -999    12.30400 -999.00000    6.81512 -999.00000 -999.00000
-999 -999 -999    15.46300 -999.00000    6.97315 -999.00000 -999.00000
-999 -999 -999    15.49200 -999.00000    7.16106 -999.00000 -999.00000
-999 -999 -999     8.67900 -999.00000    7.29476 -999.00000 -999.00000
-999 -999 -999     9.39200 -999.00000    7.37555 -999.00000 -999.00000
-999 -999 -999    10.31700 -999.00000    7.47072 -999.00000 -999.00000
